"arc_length"	"U_Magnitude"
54.1	0.0110794
54.2	0.0110794
54.3	0.0110794
54.4	0.0110794
54.5	0.0110794
54.6	0.0110794
54.7	0.0110794
54.8	0.0110794
54.9	0.0110794
55	0.0110794
55.1	0.0135536
55.2	0.0135536
55.3	0.0135536
55.4	0.0135536
55.5	0.0135536
55.6	0.0135536
55.7	0.0135536
55.8	0.0135536
55.9	0.0135536
56	0.0135536
56.1	0.0171423
56.2	0.0171423
56.3	0.0171423
56.4	0.0171423
56.5	0.0171423
56.6	0.0171423
56.7	0.0171423
56.8	0.0171423
56.9	0.0171423
57	0.0171423
57.1	0.0216154
57.2	0.0216154
57.3	0.0216154
57.4	0.0216154
57.5	0.0216154
57.6	0.0216154
57.7	0.0216154
57.8	0.0216154
57.9	0.0216154
58	0.0216154
58.1	0.0265495
58.2	0.0265495
58.3	0.0265495
58.4	0.0265495
58.5	0.0265495
58.6	0.0265495
58.7	0.0265495
58.8	0.0265495
58.9	0.0265495
59	0.0265495
59.1	0.0315804
59.2	0.0315804
59.3	0.0315804
59.4	0.0315804
59.5	0.0315804
59.6	0.0315804
59.7	0.0315804
59.8	0.0315804
59.9	0.0315804
60	0.0315804
60.1	0.0364922
60.2	0.0364922
60.3	0.0364922
60.4	0.0364922
60.5	0.0364922
60.6	0.0364922
60.7	0.0364922
60.8	0.0364922
60.9	0.0364922
61	0.0364922
61.1	0.0411798
61.2	0.0411798
61.3	0.0411798
61.4	0.0411798
61.5	0.0411798
61.6	0.0411798
61.7	0.0411798
61.8	0.0411798
61.9	0.0411798
62	0.0411798
62.1	0.0455972
62.2	0.0455972
62.3	0.0455972
62.4	0.0455972
62.5	0.0455972
62.6	0.0455972
62.7	0.0455972
62.8	0.0455972
62.9	0.0455972
63	0.0455972
63.1	0.0497248
63.2	0.0497248
63.3	0.0497248
63.4	0.0497248
63.5	0.0497248
63.6	0.0497248
63.7	0.0497248
63.8	0.0497248
63.9	0.0497248
64	0.0497248
64.1	0.0535548
64.2	0.0535548
64.3	0.0535548
64.4	0.0535548
64.5	0.0535548
64.6	0.0535548
64.7	0.0535548
64.8	0.0535548
64.9	0.0535548
65	0.0535548
65.1	0.057084
65.2	0.057084
65.3	0.057084
65.4	0.057084
65.5	0.057084
65.6	0.057084
65.7	0.057084
65.8	0.057084
65.9	0.057084
66	0.057084
66.1	0.0603109
66.2	0.0603109
66.3	0.0603109
66.4	0.0603109
66.5	0.0603109
66.6	0.0603109
66.7	0.0603109
66.8	0.0603109
66.9	0.0603109
67	0.0603109
67.1	0.0632352
67.2	0.0632352
67.3	0.0632352
67.4	0.0632352
67.5	0.0632352
67.6	0.0632352
67.7	0.0632352
67.8	0.0632352
67.9	0.0632352
68	0.0632352
68.1	0.0658565
68.2	0.0658565
68.3	0.0658565
68.4	0.0658565
68.5	0.0658565
68.6	0.0658565
68.7	0.0658565
68.8	0.0658565
68.9	0.0658565
69	0.0658565
69.1	0.0681749
69.2	0.0681749
69.3	0.0681749
69.4	0.0681749
69.5	0.0681749
69.6	0.0681749
69.7	0.0681749
69.8	0.0681749
69.9	0.0681749
70	0.0681749
70.1	0.0701903
70.2	0.0701903
70.3	0.0701903
70.4	0.0701903
70.5	0.0701903
70.6	0.0701903
70.7	0.0701903
70.8	0.0701903
70.9	0.0701903
71	0.0701903
71.1	0.0719027
71.2	0.0719027
71.3	0.0719027
71.4	0.0719027
71.5	0.0719027
71.6	0.0719027
71.7	0.0719027
71.8	0.0719027
71.9	0.0719027
72	0.0719027
72.1	0.0733122
72.2	0.0733122
72.3	0.0733122
72.4	0.0733122
72.5	0.0733122
72.6	0.0733122
72.7	0.0733122
72.8	0.0733122
72.9	0.0733122
73	0.0733122
73.1	0.0744187
73.2	0.0744187
73.3	0.0744187
73.4	0.0744187
73.5	0.0744187
73.6	0.0744187
73.7	0.0744187
73.8	0.0744187
73.9	0.0744187
74	0.0744187
74.1	0.0752222
74.2	0.0752222
74.3	0.0752222
74.4	0.0752222
74.5	0.0752222
74.6	0.0752222
74.7	0.0752222
74.8	0.0752222
74.9	0.0752222
75	0.0752222
75.1	0.0757227
75.2	0.0757227
75.3	0.0757227
75.4	0.0757227
75.5	0.0757227
75.6	0.0757227
75.7	0.0757227
75.8	0.0757227
75.9	0.0757227
76	0.0757227
76.1	0.0759203
76.2	0.0759203
76.3	0.0759203
76.4	0.0759203
76.5	0.0759203
76.6	0.0759203
76.7	0.0759203
76.8	0.0759203
76.9	0.0759203
77	0.0759203
77.1	0.0758148
77.2	0.0758148
77.3	0.0758148
77.4	0.0758148
77.5	0.0758148
77.6	0.0758148
77.7	0.0758148
77.8	0.0758148
77.9	0.0758148
