"arc_length"	"U_X"
60.5	9.9138e-05
60.6	9.9138e-05
60.7	9.9138e-05
60.8	9.9138e-05
60.9	9.9138e-05
61	9.9138e-05
61.1	9.91607e-05
61.2	9.91607e-05
61.3	9.91607e-05
61.4	9.91607e-05
61.5	9.91607e-05
61.6	9.91607e-05
61.7	9.91607e-05
61.8	9.91607e-05
61.9	9.91607e-05
62	9.91607e-05
62.1	9.91833e-05
62.2	9.91833e-05
62.3	9.91833e-05
62.4	9.91833e-05
62.5	9.91833e-05
62.6	9.91833e-05
62.7	9.91833e-05
62.8	9.91833e-05
62.9	9.91833e-05
63	9.91833e-05
63.1	9.9206e-05
63.2	9.9206e-05
63.3	9.9206e-05
63.4	9.9206e-05
63.5	9.9206e-05
63.6	9.9206e-05
63.7	9.9206e-05
63.8	9.9206e-05
63.9	9.9206e-05
64	9.9206e-05
64.1	9.92287e-05
64.2	9.92287e-05
64.3	9.92287e-05
64.4	9.92287e-05
64.5	9.92287e-05
64.6	9.92287e-05
64.7	9.92287e-05
64.8	9.92287e-05
64.9	9.92287e-05
65	9.92287e-05
65.1	9.92514e-05
65.2	9.92514e-05
65.3	9.92514e-05
65.4	9.92514e-05
65.5	9.92514e-05
65.6	9.92514e-05
65.7	9.92514e-05
65.8	9.92514e-05
65.9	9.92514e-05
66	9.92514e-05
66.1	9.92741e-05
66.2	9.92741e-05
66.3	9.92741e-05
66.4	9.92741e-05
66.5	9.92741e-05
66.6	9.92741e-05
66.7	9.92741e-05
66.8	9.92741e-05
66.9	9.92741e-05
67	9.92741e-05
67.1	9.92968e-05
67.2	9.92968e-05
67.3	9.92968e-05
67.4	9.92968e-05
67.5	9.92968e-05
67.6	9.92968e-05
67.7	9.92968e-05
67.8	9.92968e-05
67.9	9.92968e-05
68	9.92968e-05
68.1	9.93195e-05
68.2	9.93195e-05
68.3	9.93195e-05
68.4	9.93195e-05
68.5	9.93195e-05
68.6	9.93195e-05
68.7	9.93195e-05
68.8	9.93195e-05
68.9	9.93195e-05
69	9.93195e-05
69.1	9.93421e-05
69.2	9.93421e-05
69.3	9.93421e-05
69.4	9.93421e-05
69.5	9.93421e-05
69.6	9.93421e-05
69.7	9.93421e-05
69.8	9.93421e-05
69.9	9.93421e-05
70	9.93421e-05
70.1	9.93648e-05
70.2	9.93648e-05
70.3	9.93648e-05
70.4	9.93648e-05
70.5	9.93648e-05
70.6	9.93648e-05
70.7	9.93648e-05
70.8	9.93648e-05
70.9	9.93648e-05
71	9.93648e-05
71.1	9.93875e-05
71.2	9.93875e-05
71.3	9.93875e-05
71.4	9.93875e-05
71.5	9.93875e-05
71.6	9.93875e-05
71.7	9.93875e-05
71.8	9.93875e-05
71.9	9.93875e-05
72	9.93875e-05
72.1	9.94102e-05
72.2	9.94102e-05
72.3	9.94102e-05
72.4	9.94102e-05
72.5	9.94102e-05
72.6	9.94102e-05
72.7	9.94102e-05
72.8	9.94102e-05
72.9	9.94102e-05
73	9.94102e-05
73.1	9.94329e-05
73.2	9.94329e-05
73.3	9.94329e-05
73.4	9.94329e-05
73.5	9.94329e-05
73.6	9.94329e-05
73.7	9.94329e-05
73.8	9.94329e-05
73.9	9.94329e-05
74	9.94329e-05
74.1	9.94556e-05
74.2	9.94556e-05
74.3	9.94556e-05
74.4	9.94556e-05
74.5	9.94556e-05
74.6	9.94556e-05
74.7	9.94556e-05
74.8	9.94556e-05
74.9	9.94556e-05
75	9.94556e-05
75.1	9.94783e-05
75.2	9.94783e-05
75.3	9.94783e-05
75.4	9.94783e-05
75.5	9.94783e-05
75.6	9.94783e-05
