"arc_length"	"U_Magnitude","U_X"
157.3	3.28413e-05	3.04587e-05
157.85	3.28413e-05	3.04587e-05
158.4	3.31721e-05	3.07435e-05
158.95	3.31721e-05	3.07435e-05
159.5	3.35026e-05	3.10331e-05
160.05	3.38326e-05	3.13273e-05
160.6	3.38326e-05	3.13273e-05
161.15	3.41619e-05	3.16259e-05
161.7	3.41619e-05	3.16259e-05
162.25	3.44905e-05	3.19286e-05
162.8	3.44905e-05	3.19286e-05
163.35	3.48183e-05	3.22353e-05
163.9	3.48183e-05	3.22353e-05
164.45	3.51451e-05	3.25458e-05
165	3.51451e-05	3.25458e-05
165.55	3.54709e-05	3.28598e-05
166.1	3.57956e-05	3.31771e-05
166.65	3.57956e-05	3.31771e-05
167.2	3.61194e-05	3.34976e-05
167.75	3.61194e-05	3.34976e-05
168.3	3.64419e-05	3.38209e-05
168.85	3.64419e-05	3.38209e-05
169.4	3.67635e-05	3.4147e-05
169.95	3.67635e-05	3.4147e-05
170.5	3.70839e-05	3.44757e-05
171.05	3.74033e-05	3.48066e-05
171.6	3.74033e-05	3.48066e-05
172.15	3.77216e-05	3.51397e-05
172.7	3.77216e-05	3.51397e-05
173.25	3.80389e-05	3.54748e-05
173.8	3.80389e-05	3.54748e-05
174.35	3.83551e-05	3.58117e-05
174.9	3.83551e-05	3.58117e-05
175.45	3.86704e-05	3.61502e-05
176	3.86704e-05	3.61502e-05
176.55	3.89847e-05	3.64902e-05
177.1	3.92981e-05	3.68314e-05
177.65	3.92981e-05	3.68314e-05
178.2	3.96105e-05	3.71738e-05
178.75	3.96105e-05	3.71738e-05
179.3	3.99221e-05	3.75171e-05
179.85	3.99221e-05	3.75171e-05
180.4	4.02328e-05	3.78612e-05
180.95	4.02328e-05	3.78612e-05
181.5	4.05427e-05	3.8206e-05
182.05	4.08518e-05	3.85513e-05
182.6	4.08518e-05	3.85513e-05
183.15	4.11601e-05	3.8897e-05
183.7	4.11601e-05	3.8897e-05
184.25	4.14676e-05	3.9243e-05
184.8	4.14676e-05	3.9243e-05
185.35	4.17744e-05	3.9589e-05
185.9	4.17744e-05	3.9589e-05
186.45	4.20804e-05	3.99351e-05
187	4.20804e-05	3.99351e-05
187.55	4.23857e-05	4.0281e-05
188.1	4.26901e-05	4.06266e-05
188.65	4.26901e-05	4.06266e-05
189.2	4.29939e-05	4.09719e-05
189.75	4.29939e-05	4.09719e-05
190.3	4.32969e-05	4.13167e-05
190.85	4.32969e-05	4.13167e-05
191.4	4.35992e-05	4.1661e-05
191.95	4.35992e-05	4.1661e-05
192.5	4.39006e-05	4.20045e-05
193.05	4.42013e-05	4.23473e-05
193.6	4.42013e-05	4.23473e-05
194.15	4.45012e-05	4.26891e-05
194.7	4.45012e-05	4.26891e-05
195.25	4.48003e-05	4.303e-05
195.8	4.48003e-05	4.303e-05
196.35	4.50985e-05	4.33699e-05
196.9	4.50985e-05	4.33699e-05
197.45	4.53959e-05	4.37086e-05
198	4.53959e-05	4.37086e-05
198.55	4.56924e-05	4.4046e-05
199.1	4.5988e-05	4.43822e-05
199.65	4.5988e-05	4.43822e-05
200.2	4.62827e-05	4.4717e-05
200.75	4.62827e-05	4.4717e-05
201.3	4.65763e-05	4.50503e-05
201.85	4.65763e-05	4.50503e-05
202.4	4.6869e-05	4.53821e-05
202.95	4.6869e-05	4.53821e-05
203.5	4.71606e-05	4.57123e-05
204.05	4.74512e-05	4.60409e-05
204.6	4.74512e-05	4.60409e-05
205.15	4.77406e-05	4.63678e-05
205.7	4.77406e-05	4.63678e-05
206.25	4.80289e-05	4.66928e-05
206.8	4.80289e-05	4.66928e-05
207.35	4.83161e-05	4.70161e-05
207.9	4.83161e-05	4.70161e-05
208.45	4.8602e-05	4.73375e-05
209	4.8602e-05	4.73375e-05
209.55	4.88867e-05	4.76569e-05
210.1	4.917e-05	4.79744e-05
210.65	4.917e-05	4.79744e-05
211.2	4.94521e-05	4.82899e-05
211.75	4.94521e-05	4.82899e-05
212.3	4.97327e-05	4.86033e-05
212.85	4.97327e-05	4.86033e-05
213.4	5.0012e-05	4.89145e-05
213.95	5.0012e-05	4.89145e-05
214.5	5.02898e-05	4.92237e-05
215.05	5.05662e-05	4.95306e-05
215.6	5.05662e-05	4.95306e-05
216.15	5.0841e-05	4.98353e-05
216.7	5.0841e-05	4.98353e-05
217.25	5.11143e-05	5.01378e-05
217.8	5.11143e-05	5.01378e-05
218.35	5.1386e-05	5.0438e-05
218.9	5.1386e-05	5.0438e-05
219.45	5.16561e-05	5.07359e-05
220	5.16561e-05	5.07359e-05
220.55	5.19244e-05	5.10314e-05
221.1	5.21912e-05	5.13245e-05
221.65	5.21912e-05	5.13245e-05
222.2	5.24561e-05	5.16152e-05
222.75	5.24561e-05	5.16152e-05
223.3	5.27194e-05	5.19036e-05
223.85	5.27194e-05	5.19036e-05
224.4	5.29808e-05	5.21894e-05
224.95	5.29808e-05	5.21894e-05
225.5	5.32404e-05	5.24728e-05
226.05	5.34981e-05	5.27537e-05
226.6	5.34981e-05	5.27537e-05
227.15	5.3754e-05	5.30321e-05
227.7	5.3754e-05	5.30321e-05
228.25	5.40079e-05	5.3308e-05
228.8	5.40079e-05	5.3308e-05
229.35	5.42599e-05	5.35813e-05
229.9	5.42599e-05	5.35813e-05
230.45	5.45099e-05	5.38521e-05
231	5.45099e-05	5.38521e-05
231.55	5.4758e-05	5.41202e-05
232.1	5.5004e-05	5.43858e-05
232.65	5.5004e-05	5.43858e-05
233.2	5.52479e-05	5.46488e-05
233.75	5.52479e-05	5.46488e-05
234.3	5.54898e-05	5.49092e-05
234.85	5.54898e-05	5.49092e-05
235.4	5.57296e-05	5.51669e-05
235.95	5.57296e-05	5.51669e-05
236.5	5.59673e-05	5.54221e-05
237.05	5.62028e-05	5.56745e-05
237.6	5.62028e-05	5.56745e-05
238.15	5.64362e-05	5.59243e-05
238.7	5.64362e-05	5.59243e-05
239.25	5.66674e-05	5.61715e-05
239.8	5.66674e-05	5.61715e-05
240.35	5.68964e-05	5.6416e-05
240.9	5.68964e-05	5.6416e-05
241.45	5.71232e-05	5.66578e-05
242	5.71232e-05	5.66578e-05
242.55	5.73477e-05	5.68969e-05
243.1	5.757e-05	5.71333e-05
243.65	5.757e-05	5.71333e-05
244.2	5.779e-05	5.73671e-05
244.75	5.779e-05	5.73671e-05
245.3	5.80078e-05	5.75981e-05
245.85	5.80078e-05	5.75981e-05
246.4	5.82232e-05	5.78265e-05
246.95	5.82232e-05	5.78265e-05
247.5	5.84364e-05	5.80521e-05
248.05	5.86472e-05	5.82751e-05
248.6	5.86472e-05	5.82751e-05
249.15	5.88556e-05	5.84953e-05
249.7	5.88556e-05	5.84953e-05
250.25	5.90618e-05	5.87129e-05
250.8	5.90618e-05	5.87129e-05
251.35	5.92655e-05	5.89277e-05
251.9	5.92655e-05	5.89277e-05
252.45	5.94669e-05	5.91398e-05
253	5.94669e-05	5.91398e-05
253.55	5.9666e-05	5.93492e-05
254.1	5.98626e-05	5.95559e-05
254.65	5.98626e-05	5.95559e-05
255.2	6.00568e-05	5.97599e-05
255.75	6.00568e-05	5.97599e-05
256.3	6.02486e-05	5.99612e-05
256.85	6.02486e-05	5.99612e-05
257.4	6.04381e-05	6.01597e-05
257.95	6.04381e-05	6.01597e-05
258.5	6.0625e-05	6.03556e-05
259.05	6.08096e-05	6.05487e-05
259.6	6.08096e-05	6.05487e-05
260.15	6.09917e-05	6.07392e-05
260.7	6.09917e-05	6.07392e-05
261.25	6.11714e-05	6.09269e-05
261.8	6.11714e-05	6.09269e-05
262.35	6.13486e-05	6.1112e-05
262.9	6.13486e-05	6.1112e-05
263.45	6.15234e-05	6.12944e-05
264	6.15234e-05	6.12944e-05
264.55	6.16958e-05	6.1474e-05
265.1	6.18656e-05	6.1651e-05
265.65	6.18656e-05	6.1651e-05
266.2	6.2033e-05	6.18253e-05
266.75	6.2033e-05	6.18253e-05
267.3	6.2198e-05	6.19969e-05
267.85	6.2198e-05	6.19969e-05
268.4	6.23605e-05	6.21658e-05
268.95	6.23605e-05	6.21658e-05
269.5	6.25205e-05	6.2332e-05
270.05	6.2678e-05	6.24956e-05
270.6	6.2678e-05	6.24956e-05
271.15	6.2833e-05	6.26565e-05
271.7	6.2833e-05	6.26565e-05
272.25	6.29856e-05	6.28147e-05
272.8	6.29856e-05	6.28147e-05
273.35	6.31357e-05	6.29703e-05
273.9	6.31357e-05	6.29703e-05
274.45	6.32833e-05	6.31232e-05
275	6.32833e-05	6.31232e-05
275.55	6.34284e-05	6.32735e-05
276.1	6.3571e-05	6.34211e-05
276.65	6.3571e-05	6.34211e-05
277.2	6.37111e-05	6.35661e-05
277.75	6.37111e-05	6.35661e-05
278.3	6.38488e-05	6.37084e-05
278.85	6.38488e-05	6.37084e-05
279.4	6.3984e-05	6.38481e-05
279.95	6.3984e-05	6.38481e-05
280.5	6.41166e-05	6.39851e-05
281.05	6.42468e-05	6.41196e-05
281.6	6.42468e-05	6.41196e-05
282.15	6.43746e-05	6.42514e-05
282.7	6.43746e-05	6.42514e-05
283.25	6.44998e-05	6.43806e-05
283.8	6.44998e-05	6.43806e-05
284.35	6.46225e-05	6.45072e-05
284.9	6.46225e-05	6.45072e-05
285.45	6.47428e-05	6.46311e-05
286	6.47428e-05	6.46311e-05
286.55	6.48605e-05	6.47525e-05
287.1	6.49758e-05	6.48713e-05
287.65	6.49758e-05	6.48713e-05
288.2	6.50886e-05	6.49875e-05
288.75	6.50886e-05	6.49875e-05
289.3	6.51989e-05	6.5101e-05
289.85	6.51989e-05	6.5101e-05
290.4	6.53068e-05	6.52121e-05
290.95	6.53068e-05	6.52121e-05
291.5	6.54122e-05	6.53205e-05
292.05	6.5515e-05	6.54263e-05
292.6	6.5515e-05	6.54263e-05
293.15	6.56154e-05	6.55296e-05
293.7	6.56154e-05	6.55296e-05
294.25	6.57134e-05	6.56303e-05
294.8	6.57134e-05	6.56303e-05
295.35	6.58088e-05	6.57285e-05
295.9	6.58088e-05	6.57285e-05
296.45	6.59018e-05	6.5824e-05
297	6.59018e-05	6.5824e-05
297.55	6.59924e-05	6.59171e-05
298.1	6.60804e-05	6.60076e-05
298.65	6.60804e-05	6.60076e-05
299.2	6.6166e-05	6.60955e-05
299.75	6.6166e-05	6.60955e-05
300.3	6.62491e-05	6.61809e-05
300.85	6.62491e-05	6.61809e-05
301.4	6.63298e-05	6.62638e-05
301.95	6.63298e-05	6.62638e-05
302.5	6.6408e-05	6.63441e-05
303.05	6.64837e-05	6.64219e-05
303.6	6.64837e-05	6.64219e-05
304.15	6.6557e-05	6.64972e-05
304.7	6.6557e-05	6.64972e-05
305.25	6.66278e-05	6.657e-05
305.8	6.66278e-05	6.657e-05
306.35	6.66962e-05	6.66402e-05
306.9	6.66962e-05	6.66402e-05
307.45	6.67621e-05	6.67079e-05
308	6.67621e-05	6.67079e-05
308.55	6.68256e-05	6.67732e-05
309.1	6.68866e-05	6.68359e-05
309.65	6.68866e-05	6.68359e-05
310.2	6.69452e-05	6.68961e-05
310.75	6.69452e-05	6.68961e-05
311.3	6.70013e-05	6.69538e-05
311.85	6.70013e-05	6.69538e-05
312.4	6.70549e-05	6.7009e-05
312.95	6.70549e-05	6.7009e-05
313.5	6.71062e-05	6.70617e-05
314.05	6.7155e-05	6.7112e-05
314.6	6.7155e-05	6.7112e-05
315.15	6.72013e-05	6.71597e-05
315.7	6.72013e-05	6.71597e-05
316.25	6.72452e-05	6.7205e-05
316.8	6.72452e-05	6.7205e-05
317.35	6.72867e-05	6.72477e-05
317.9	6.72867e-05	6.72477e-05
318.45	6.73257e-05	6.7288e-05
319	6.73257e-05	6.7288e-05
319.55	6.73623e-05	6.73258e-05
320.1	6.73965e-05	6.73612e-05
320.65	6.73965e-05	6.73612e-05
321.2	6.74282e-05	6.73941e-05
321.75	6.74282e-05	6.73941e-05
322.3	6.74575e-05	6.74245e-05
322.85	6.74575e-05	6.74245e-05
323.4	6.74843e-05	6.74524e-05
323.95	6.74843e-05	6.74524e-05
324.5	6.75088e-05	6.74779e-05
325.05	6.75308e-05	6.75008e-05
325.6	6.75308e-05	6.75008e-05
326.15	6.75503e-05	6.75214e-05
326.7	6.75503e-05	6.75214e-05
327.25	6.75675e-05	6.75395e-05
327.8	6.75675e-05	6.75395e-05
328.35	6.75822e-05	6.75551e-05
328.9	6.75822e-05	6.75551e-05
329.45	6.75944e-05	6.75682e-05
330	6.75944e-05	6.75682e-05
330.55	6.76043e-05	6.75789e-05
331.1	6.76117e-05	6.75871e-05
331.65	6.76117e-05	6.75871e-05
332.2	6.76167e-05	6.75929e-05
332.75	6.76167e-05	6.75929e-05
333.3	6.76192e-05	6.75962e-05
333.85	6.76192e-05	6.75962e-05
334.4	6.76193e-05	6.75971e-05
334.95	6.76193e-05	6.75971e-05
335.5	6.7617e-05	6.75955e-05
336.05	6.76123e-05	6.75914e-05
336.6	6.76123e-05	6.75914e-05
337.15	6.76051e-05	6.75849e-05
337.7	6.76051e-05	6.75849e-05
338.25	6.75955e-05	6.7576e-05
338.8	6.75955e-05	6.7576e-05
339.35	6.75834e-05	6.75646e-05
339.9	6.75834e-05	6.75646e-05
340.45	6.75689e-05	6.75507e-05
341	6.75689e-05	6.75507e-05
341.55	6.7552e-05	6.75344e-05
342.1	6.75326e-05	6.75156e-05
342.65	6.75326e-05	6.75156e-05
343.2	6.75109e-05	6.74943e-05
343.75	6.75109e-05	6.74943e-05
344.3	6.74866e-05	6.74706e-05
344.85	6.74866e-05	6.74706e-05
345.4	6.74599e-05	6.74445e-05
345.95	6.74599e-05	6.74445e-05
346.5	6.74308e-05	6.74159e-05
347.05	6.73992e-05	6.73848e-05
347.6	6.73992e-05	6.73848e-05
348.15	6.73652e-05	6.73512e-05
348.7	6.73652e-05	6.73512e-05
349.25	6.73288e-05	6.73152e-05
349.8	6.73288e-05	6.73152e-05
350.35	6.72898e-05	6.72767e-05
350.9	6.72898e-05	6.72767e-05
351.45	6.72485e-05	6.72358e-05
352	6.72485e-05	6.72358e-05
352.55	6.72046e-05	6.71924e-05
353.1	6.71583e-05	6.71465e-05
353.65	6.71583e-05	6.71465e-05
354.2	6.71096e-05	6.70981e-05
354.75	6.71096e-05	6.70981e-05
355.3	6.70584e-05	6.70473e-05
355.85	6.70584e-05	6.70473e-05
356.4	6.70047e-05	6.69939e-05
356.95	6.70047e-05	6.69939e-05
357.5	6.69485e-05	6.69381e-05
358.05	6.68899e-05	6.68798e-05
358.6	6.68899e-05	6.68798e-05
359.15	6.68288e-05	6.6819e-05
359.7	6.68288e-05	6.6819e-05
360.25	6.67652e-05	6.67558e-05
360.8	6.67652e-05	6.67558e-05
361.35	6.66991e-05	6.669e-05
361.9	6.66991e-05	6.669e-05
362.45	6.66305e-05	6.66217e-05
363	6.66305e-05	6.66217e-05
363.55	6.65594e-05	6.65509e-05
364.1	6.64859e-05	6.64776e-05
364.65	6.64859e-05	6.64776e-05
365.2	6.64098e-05	6.64018e-05
365.75	6.64098e-05	6.64018e-05
366.3	6.63312e-05	6.63235e-05
366.85	6.63312e-05	6.63235e-05
367.4	6.62502e-05	6.62427e-05
367.95	6.62502e-05	6.62427e-05
368.5	6.61666e-05	6.61593e-05
369.05	6.60804e-05	6.60735e-05
369.6	6.60804e-05	6.60735e-05
370.15	6.59918e-05	6.5985e-05
370.7	6.59918e-05	6.5985e-05
371.25	6.59006e-05	6.58941e-05
371.8	6.59006e-05	6.58941e-05
372.35	6.58069e-05	6.58006e-05
372.9	6.58069e-05	6.58006e-05
373.45	6.57106e-05	6.57045e-05
374	6.57106e-05	6.57045e-05
374.55	6.56118e-05	6.56059e-05
375.1	6.55105e-05	6.55048e-05
375.65	6.55105e-05	6.55048e-05
376.2	6.54066e-05	6.5401e-05
376.75	6.54066e-05	6.5401e-05
377.3	6.53001e-05	6.52947e-05
377.85	6.53001e-05	6.52947e-05
378.4	6.5191e-05	6.51859e-05
378.95	6.5191e-05	6.51859e-05
379.5	6.50794e-05	6.50744e-05
380.05	6.49652e-05	6.49604e-05
380.6	6.49652e-05	6.49604e-05
381.15	6.48484e-05	6.48437e-05
381.7	6.48484e-05	6.48437e-05
