"arc_length"	"U_X","U_Magnitude"
51.17	2.40127e-05	1.99234e-05
51.34	2.40127e-05	1.99234e-05
51.51	2.40127e-05	1.99234e-05
51.68	2.40127e-05	1.99234e-05
51.85	2.40127e-05	1.99234e-05
52.02	2.44162e-05	2.1539e-05
52.19	2.44162e-05	2.1539e-05
52.36	2.44162e-05	2.1539e-05
52.53	2.44162e-05	2.1539e-05
52.7	2.44162e-05	2.1539e-05
52.87	2.44162e-05	2.1539e-05
53.04	2.48364e-05	2.31056e-05
53.21	2.48364e-05	2.31056e-05
53.38	2.48364e-05	2.31056e-05
53.55	2.48364e-05	2.31056e-05
53.72	2.48364e-05	2.31056e-05
53.89	2.48364e-05	2.31056e-05
54.06	2.52708e-05	2.46233e-05
54.23	2.52708e-05	2.46233e-05
54.4	2.52708e-05	2.46233e-05
54.57	2.52708e-05	2.46233e-05
54.74	2.52708e-05	2.46233e-05
54.91	2.52708e-05	2.46233e-05
55.08	2.57166e-05	2.6092e-05
55.25	2.57166e-05	2.6092e-05
55.42	2.57166e-05	2.6092e-05
55.59	2.57166e-05	2.6092e-05
55.76	2.57166e-05	2.6092e-05
55.93	2.57166e-05	2.6092e-05
56.1	2.61713e-05	2.75117e-05
56.27	2.61713e-05	2.75117e-05
56.44	2.61713e-05	2.75117e-05
56.61	2.61713e-05	2.75117e-05
56.78	2.61713e-05	2.75117e-05
56.95	2.61713e-05	2.75117e-05
57.12	2.66324e-05	2.88826e-05
57.29	2.66324e-05	2.88826e-05
57.46	2.66324e-05	2.88826e-05
57.63	2.66324e-05	2.88826e-05
57.8	2.66324e-05	2.88826e-05
57.97	2.66324e-05	2.88826e-05
58.14	2.70974e-05	3.02044e-05
58.31	2.70974e-05	3.02044e-05
58.48	2.70974e-05	3.02044e-05
58.65	2.70974e-05	3.02044e-05
58.82	2.70974e-05	3.02044e-05
58.99	2.70974e-05	3.02044e-05
59.16	2.75639e-05	3.14774e-05
59.33	2.75639e-05	3.14774e-05
59.5	2.75639e-05	3.14774e-05
59.67	2.75639e-05	3.14774e-05
59.84	2.75639e-05	3.14774e-05
60.01	2.80297e-05	3.27013e-05
60.18	2.80297e-05	3.27013e-05
60.35	2.80297e-05	3.27013e-05
60.52	2.80297e-05	3.27013e-05
60.69	2.80297e-05	3.27013e-05
60.86	2.80297e-05	3.27013e-05
61.03	2.84925e-05	3.38764e-05
61.2	2.84925e-05	3.38764e-05
61.37	2.84925e-05	3.38764e-05
61.54	2.84925e-05	3.38764e-05
61.71	2.84925e-05	3.38764e-05
61.88	2.84925e-05	3.38764e-05
62.05	2.89504e-05	3.50024e-05
62.22	2.89504e-05	3.50024e-05
62.39	2.89504e-05	3.50024e-05
62.56	2.89504e-05	3.50024e-05
62.73	2.89504e-05	3.50024e-05
62.9	2.89504e-05	3.50024e-05
63.07	2.94013e-05	3.60796e-05
63.24	2.94013e-05	3.60796e-05
63.41	2.94013e-05	3.60796e-05
63.58	2.94013e-05	3.60796e-05
63.75	2.94013e-05	3.60796e-05
63.92	2.94013e-05	3.60796e-05
64.09	2.98433e-05	3.71077e-05
64.26	2.98433e-05	3.71077e-05
64.43	2.98433e-05	3.71077e-05
64.6	2.98433e-05	3.71077e-05
64.77	2.98433e-05	3.71077e-05
64.94	2.98433e-05	3.71077e-05
65.11	3.02748e-05	3.8087e-05
65.28	3.02748e-05	3.8087e-05
65.45	3.02748e-05	3.8087e-05
65.62	3.02748e-05	3.8087e-05
65.79	3.02748e-05	3.8087e-05
65.96	3.02748e-05	3.8087e-05
66.13	3.0694e-05	3.90172e-05
66.3	3.0694e-05	3.90172e-05
66.47	3.0694e-05	3.90172e-05
66.64	3.0694e-05	3.90172e-05
66.81	3.0694e-05	3.90172e-05
66.98	3.0694e-05	3.90172e-05
67.15	3.10995e-05	3.98985e-05
67.32	3.10995e-05	3.98985e-05
67.49	3.10995e-05	3.98985e-05
67.66	3.10995e-05	3.98985e-05
67.83	3.10995e-05	3.98985e-05
68	3.10995e-05	3.98985e-05
68.17	3.14898e-05	4.07309e-05
68.34	3.14898e-05	4.07309e-05
68.51	3.14898e-05	4.07309e-05
68.68	3.14898e-05	4.07309e-05
68.85	3.14898e-05	4.07309e-05
69.02	3.18635e-05	4.15143e-05
69.19	3.18635e-05	4.15143e-05
69.36	3.18635e-05	4.15143e-05
69.53	3.18635e-05	4.15143e-05
69.7	3.18635e-05	4.15143e-05
69.87	3.18635e-05	4.15143e-05
70.04	3.22195e-05	4.22487e-05
70.21	3.22195e-05	4.22487e-05
70.38	3.22195e-05	4.22487e-05
70.55	3.22195e-05	4.22487e-05
70.72	3.22195e-05	4.22487e-05
70.89	3.22195e-05	4.22487e-05
71.06	3.25566e-05	4.29342e-05
71.23	3.25566e-05	4.29342e-05
71.4	3.25566e-05	4.29342e-05
71.57	3.25566e-05	4.29342e-05
71.74	3.25566e-05	4.29342e-05
71.91	3.25566e-05	4.29342e-05
72.08	3.28738e-05	4.35708e-05
72.25	3.28738e-05	4.35708e-05
72.42	3.28738e-05	4.35708e-05
72.59	3.28738e-05	4.35708e-05
72.76	3.28738e-05	4.35708e-05
72.93	3.28738e-05	4.35708e-05
73.1	3.31701e-05	4.41583e-05
73.27	3.31701e-05	4.41583e-05
73.44	3.31701e-05	4.41583e-05
73.61	3.31701e-05	4.41583e-05
73.78	3.31701e-05	4.41583e-05
73.95	3.31701e-05	4.41583e-05
74.12	3.34446e-05	4.46969e-05
74.29	3.34446e-05	4.46969e-05
74.46	3.34446e-05	4.46969e-05
74.63	3.34446e-05	4.46969e-05
74.8	3.34446e-05	4.46969e-05
74.97	3.34446e-05	4.46969e-05
75.14	3.36966e-05	4.51866e-05
75.31	3.36966e-05	4.51866e-05
75.48	3.36966e-05	4.51866e-05
75.65	3.36966e-05	4.51866e-05
75.82	3.36966e-05	4.51866e-05
75.99	3.36966e-05	4.51866e-05
76.16	3.39253e-05	4.56273e-05
76.33	3.39253e-05	4.56273e-05
76.5	3.39253e-05	4.56273e-05
76.67	3.39253e-05	4.56273e-05
76.84	3.39253e-05	4.56273e-05
77.01	3.41301e-05	4.6019e-05
77.18	3.41301e-05	4.6019e-05
77.35	3.41301e-05	4.6019e-05
77.52	3.41301e-05	4.6019e-05
77.69	3.41301e-05	4.6019e-05
77.86	3.41301e-05	4.6019e-05
78.03	3.43105e-05	4.63618e-05
78.2	3.43105e-05	4.63618e-05
78.37	3.43105e-05	4.63618e-05
78.54	3.43105e-05	4.63618e-05
78.71	3.43105e-05	4.63618e-05
78.88	3.43105e-05	4.63618e-05
79.05	3.4466e-05	4.66556e-05
79.22	3.4466e-05	4.66556e-05
79.39	3.4466e-05	4.66556e-05
79.56	3.4466e-05	4.66556e-05
79.73	3.4466e-05	4.66556e-05
79.9	3.4466e-05	4.66556e-05
80.07	3.45962e-05	4.69004e-05
80.24	3.45962e-05	4.69004e-05
80.41	3.45962e-05	4.69004e-05
