"arc_length"	"U_X","U_Magnitude"
52.14	0.000167489	0.000171583
52.25	0.000167489	0.000171583
52.36	0.000167489	0.000171583
52.47	0.000167489	0.000171583
52.58	0.000167489	0.000171583
52.69	0.000167489	0.000171583
52.8	0.000167489	0.000171583
52.91	0.000167489	0.000171583
53.02	0.000170589	0.000174851
53.13	0.000170589	0.000174851
53.24	0.000170589	0.000174851
53.35	0.000170589	0.000174851
53.46	0.000170589	0.000174851
53.57	0.000170589	0.000174851
53.68	0.000170589	0.000174851
53.79	0.000170589	0.000174851
53.9	0.000170589	0.000174851
54.01	0.000173472	0.000177885
54.12	0.000173472	0.000177885
54.23	0.000173472	0.000177885
54.34	0.000173472	0.000177885
54.45	0.000173472	0.000177885
54.56	0.000173472	0.000177885
54.67	0.000173472	0.000177885
54.78	0.000173472	0.000177885
54.89	0.000173472	0.000177885
55	0.000173472	0.000177885
55.11	0.000176135	0.000180687
55.22	0.000176135	0.000180687
55.33	0.000176135	0.000180687
55.44	0.000176135	0.000180687
55.55	0.000176135	0.000180687
55.66	0.000176135	0.000180687
55.77	0.000176135	0.000180687
55.88	0.000176135	0.000180687
55.99	0.000176135	0.000180687
56.1	0.000178578	0.000183255
56.21	0.000178578	0.000183255
56.32	0.000178578	0.000183255
56.43	0.000178578	0.000183255
56.54	0.000178578	0.000183255
56.65	0.000178578	0.000183255
56.76	0.000178578	0.000183255
56.87	0.000178578	0.000183255
56.98	0.000178578	0.000183255
57.09	0.000180799	0.00018559
57.2	0.000180799	0.00018559
57.31	0.000180799	0.00018559
57.42	0.000180799	0.00018559
57.53	0.000180799	0.00018559
57.64	0.000180799	0.00018559
57.75	0.000180799	0.00018559
57.86	0.000180799	0.00018559
57.97	0.000180799	0.00018559
58.08	0.000182798	0.000187691
58.19	0.000182798	0.000187691
58.3	0.000182798	0.000187691
58.41	0.000182798	0.000187691
58.52	0.000182798	0.000187691
58.63	0.000182798	0.000187691
58.74	0.000182798	0.000187691
58.85	0.000182798	0.000187691
58.96	0.000182798	0.000187691
59.07	0.000184574	0.000189559
59.18	0.000184574	0.000189559
59.29	0.000184574	0.000189559
59.4	0.000184574	0.000189559
59.51	0.000184574	0.000189559
59.62	0.000184574	0.000189559
59.73	0.000184574	0.000189559
59.84	0.000184574	0.000189559
59.95	0.000184574	0.000189559
