"arc_length"	"U_Magnitude_cm_Guo"
56.4	0.0567514
56.5	0.0567514
56.6	0.0567514
56.7	0.0567514
56.8	0.0567514
56.9	0.0567514
57	0.0567514
57.1	0.0715339
57.2	0.0715339
57.3	0.0715339
57.4	0.0715339
57.5	0.0715339
57.6	0.0715339
57.7	0.0715339
57.8	0.0715339
57.9	0.0715339
58	0.0715339
58.1	0.087837
58.2	0.087837
58.3	0.087837
58.4	0.087837
58.5	0.087837
58.6	0.087837
58.7	0.087837
58.8	0.087837
58.9	0.087837
59	0.087837
59.1	0.104454
59.2	0.104454
59.3	0.104454
59.4	0.104454
59.5	0.104454
59.6	0.104454
59.7	0.104454
59.8	0.104454
59.9	0.104454
60	0.104454
60.1	0.120671
60.2	0.120671
60.3	0.120671
60.4	0.120671
60.5	0.120671
60.6	0.120671
60.7	0.120671
60.8	0.120671
60.9	0.120671
61	0.120671
61.1	0.13614
61.2	0.13614
61.3	0.13614
61.4	0.13614
61.5	0.13614
61.6	0.13614
61.7	0.13614
61.8	0.13614
61.9	0.13614
62	0.13614
62.1	0.150711
62.2	0.150711
62.3	0.150711
62.4	0.150711
62.5	0.150711
62.6	0.150711
62.7	0.150711
62.8	0.150711
62.9	0.150711
63	0.150711
63.1	0.164321
63.2	0.164321
63.3	0.164321
63.4	0.164321
63.5	0.164321
63.6	0.164321
63.7	0.164321
63.8	0.164321
63.9	0.164321
64	0.164321
64.1	0.176944
64.2	0.176944
64.3	0.176944
64.4	0.176944
64.5	0.176944
64.6	0.176944
64.7	0.176944
64.8	0.176944
64.9	0.176944
65	0.176944
65.1	0.188571
65.2	0.188571
65.3	0.188571
65.4	0.188571
65.5	0.188571
65.6	0.188571
65.7	0.188571
65.8	0.188571
65.9	0.188571
66	0.188571
66.1	0.199199
66.2	0.199199
66.3	0.199199
66.4	0.199199
66.5	0.199199
66.6	0.199199
66.7	0.199199
66.8	0.199199
66.9	0.199199
67	0.199199
67.1	0.208828
67.2	0.208828
67.3	0.208828
67.4	0.208828
67.5	0.208828
67.6	0.208828
67.7	0.208828
67.8	0.208828
67.9	0.208828
68	0.208828
68.1	0.217456
68.2	0.217456
68.3	0.217456
68.4	0.217456
68.5	0.217456
68.6	0.217456
68.7	0.217456
68.8	0.217456
68.9	0.217456
69	0.217456
69.1	0.225086
69.2	0.225086
69.3	0.225086
69.4	0.225086
69.5	0.225086
69.6	0.225086
69.7	0.225086
69.8	0.225086
69.9	0.225086
70	0.225086
70.1	0.231717
70.2	0.231717
70.3	0.231717
70.4	0.231717
70.5	0.231717
70.6	0.231717
70.7	0.231717
70.8	0.231717
70.9	0.231717
