"arc_length"	"U_Magnitude_Guo"
49.6	0.00757474
49.7	0.00757474
49.8	0.00757474
49.9	0.00757474
50	0.00757474
50.1	0.0112206
50.2	0.0112206
50.3	0.0112206
50.4	0.0112206
50.5	0.0112206
50.6	0.0112206
50.7	0.0112206
50.8	0.0112206
50.9	0.0112206
51	0.0112206
51.1	0.018289
51.2	0.018289
51.3	0.018289
51.4	0.018289
51.5	0.018289
51.6	0.018289
51.7	0.018289
51.8	0.018289
51.9	0.018289
52	0.018289
52.1	0.0250499
52.2	0.0250499
52.3	0.0250499
52.4	0.0250499
52.5	0.0250499
52.6	0.0250499
52.7	0.0250499
52.8	0.0250499
52.9	0.0250499
53	0.0250499
53.1	0.0315035
53.2	0.0315035
53.3	0.0315035
53.4	0.0315035
53.5	0.0315035
53.6	0.0315035
53.7	0.0315035
53.8	0.0315035
53.9	0.0315035
54	0.0315035
54.1	0.0376497
54.2	0.0376497
54.3	0.0376497
54.4	0.0376497
54.5	0.0376497
54.6	0.0376497
54.7	0.0376497
54.8	0.0376497
54.9	0.0376497
55	0.0376497
55.1	0.0434885
55.2	0.0434885
55.3	0.0434885
55.4	0.0434885
55.5	0.0434885
55.6	0.0434885
55.7	0.0434885
55.8	0.0434885
55.9	0.0434885
56	0.0434885
56.1	0.0490199
56.2	0.0490199
56.3	0.0490199
56.4	0.0490199
56.5	0.0490199
56.6	0.0490199
56.7	0.0490199
56.8	0.0490199
56.9	0.0490199
57	0.0490199
57.1	0.0542439
57.2	0.0542439
57.3	0.0542439
57.4	0.0542439
57.5	0.0542439
57.6	0.0542439
57.7	0.0542439
57.8	0.0542439
57.9	0.0542439
58	0.0542439
58.1	0.0591608
58.2	0.0591608
58.3	0.0591608
58.4	0.0591608
58.5	0.0591608
58.6	0.0591608
58.7	0.0591608
58.8	0.0591608
58.9	0.0591608
59	0.0591608
59.1	0.0637704
59.2	0.0637704
59.3	0.0637704
59.4	0.0637704
59.5	0.0637704
59.6	0.0637704
59.7	0.0637704
59.8	0.0637704
59.9	0.0637704
60	0.0637704
60.1	0.0680728
60.2	0.0680728
60.3	0.0680728
60.4	0.0680728
60.5	0.0680728
60.6	0.0680728
60.7	0.0680728
60.8	0.0680728
60.9	0.0680728
61	0.0680728
61.1	0.072068
61.2	0.072068
61.3	0.072068
61.4	0.072068
61.5	0.072068
61.6	0.072068
61.7	0.072068
61.8	0.072068
61.9	0.072068
62	0.072068
62.1	0.0757562
62.2	0.0757562
62.3	0.0757562
62.4	0.0757562
62.5	0.0757562
62.6	0.0757562
62.7	0.0757562
62.8	0.0757562
62.9	0.0757562
63	0.0757562
63.1	0.0791373
63.2	0.0791373
63.3	0.0791373
63.4	0.0791373
63.5	0.0791373
63.6	0.0791373
63.7	0.0791373
63.8	0.0791373
63.9	0.0791373
64	0.0791373
64.1	0.0822113
64.2	0.0822113
64.3	0.0822113
64.4	0.0822113
64.5	0.0822113
64.6	0.0822113
64.7	0.0822113
64.8	0.0822113
64.9	0.0822113
65	0.0822113
65.1	0.0849783
65.2	0.0849783
65.3	0.0849783
65.4	0.0849783
65.5	0.0849783
65.6	0.0849783
65.7	0.0849783
65.8	0.0849783
65.9	0.0849783
66	0.0849783
66.1	0.0874384
66.2	0.0874384
66.3	0.0874384
66.4	0.0874384
66.5	0.0874384
66.6	0.0874384
66.7	0.0874384
66.8	0.0874384
66.9	0.0874384
67	0.0874384
67.1	0.0895914
67.2	0.0895914
67.3	0.0895914
67.4	0.0895914
67.5	0.0895914
67.6	0.0895914
67.7	0.0895914
67.8	0.0895914
67.9	0.0895914
68	0.0895914
68.1	0.0914375
68.2	0.0914375
68.3	0.0914375
68.4	0.0914375
68.5	0.0914375
68.6	0.0914375
