"arc_length"	"U_Magnitude_eq25"
89.344	1.83552e-05
89.6	1.83552e-05
89.856	1.83552e-05
90.112	9.64361e-06
90.368	9.64361e-06
90.624	9.64361e-06
90.88	9.64361e-06
91.136	4.08174e-06
91.392	4.08174e-06
91.648	4.08174e-06
91.904	4.08174e-06
92.16	6.91792e-06
92.416	6.91792e-06
92.672	6.91792e-06
92.928	6.91792e-06
93.184	8.15658e-06
93.44	8.15658e-06
93.696	8.15658e-06
93.952	8.15658e-06
94.208	6.96328e-06
94.464	6.96328e-06
94.72	6.96328e-06
94.976	6.96328e-06
95.232	4.59816e-06
95.488	4.59816e-06
95.744	4.59816e-06
96	4.59816e-06
96.256	2.14888e-06
96.512	2.14888e-06
96.768	2.14888e-06
97.024	9.53888e-07
97.28	9.53888e-07
97.536	9.53888e-07
97.792	9.53888e-07
98.048	1.53876e-06
98.304	1.53876e-06
98.56	1.53876e-06
98.816	1.53876e-06
99.072	1.57659e-06
99.328	1.57659e-06
99.584	1.57659e-06
99.84	1.57659e-06
100.096	1.54988e-06
100.352	1.54988e-06
100.608	1.54988e-06
100.864	1.54988e-06
101.12	2.04265e-06
101.376	2.04265e-06
101.632	2.04265e-06
101.888	2.04265e-06
102.144	2.24808e-06
102.4	2.24808e-06
102.656	2.24808e-06
102.912	2.24808e-06
103.168	1.71083e-06
103.424	1.71083e-06
103.68	1.71083e-06
103.936	1.71083e-06
104.192	8.3133e-07
104.448	8.3133e-07
104.704	8.3133e-07
104.96	8.3133e-07
105.216	1.4645e-06
105.472	1.4645e-06
105.728	1.4645e-06
105.984	1.4645e-06
106.24	2.80131e-06
106.496	2.80131e-06
106.752	2.80131e-06
107.008	3.89568e-06
107.264	3.89568e-06
107.52	3.89568e-06
107.776	3.89568e-06
108.032	4.54575e-06
108.288	4.54575e-06
108.544	4.54575e-06
108.8	4.54575e-06
109.056	4.70542e-06
109.312	4.70542e-06
109.568	4.70542e-06
109.824	4.70542e-06
110.08	4.42951e-06
110.336	4.42951e-06
110.592	4.42951e-06
110.848	4.42951e-06
111.104	3.84295e-06
111.36	3.84295e-06
111.616	3.84295e-06
111.872	3.84295e-06
112.128	3.09974e-06
112.384	3.09974e-06
112.64	3.09974e-06
112.896	3.09974e-06
113.152	2.3389e-06
113.408	2.3389e-06
113.664	2.3389e-06
113.92	2.3389e-06
114.176	1.65522e-06
114.432	1.65522e-06
114.688	1.65522e-06
114.944	1.65522e-06
115.2	1.10663e-06
115.456	1.10663e-06
115.712	1.10663e-06
115.968	1.10663e-06
116.224	7.04777e-07
116.48	7.04777e-07
116.736	7.04777e-07
116.992	7.04777e-07
117.248	4.25735e-07
117.504	4.25735e-07
117.76	4.25735e-07
118.016	2.36425e-07
118.272	2.36425e-07
118.528	2.36425e-07
118.784	2.36425e-07
119.04	1.15997e-07
119.296	1.15997e-07
119.552	1.15997e-07
119.808	1.15997e-07
120.064	3.83979e-08
120.32	3.83979e-08
120.576	3.83979e-08
120.832	3.83979e-08
121.088	2.03427e-08
121.344	2.03427e-08
121.6	2.03427e-08
121.856	2.03427e-08
122.112	3.16537e-08
122.368	3.16537e-08
122.624	3.16537e-08
122.88	3.16537e-08
123.136	2.99645e-08
123.392	2.99645e-08
123.648	2.99645e-08
123.904	2.99645e-08
124.16	2.02516e-08
124.416	2.02516e-08
124.672	2.02516e-08
124.928	2.02516e-08
125.184	9.94218e-09
125.44	9.94218e-09
125.696	9.94218e-09
125.952	9.94218e-09
126.208	2.85784e-09
126.464	2.85784e-09
126.72	2.85784e-09
126.976	2.85784e-09
127.232	3.34206e-10
127.488	3.34206e-10
127.744	3.34206e-10
128	3.34206e-10
128.256	3.34207e-10
128.512	3.34207e-10
128.768	3.34207e-10
129.024	2.85784e-09
129.28	2.85784e-09
129.536	2.85784e-09
129.792	2.85784e-09
130.048	9.94218e-09
130.304	9.94218e-09
130.56	9.94218e-09
130.816	9.94218e-09
131.072	2.02516e-08
131.328	2.02516e-08
131.584	2.02516e-08
131.84	2.02516e-08
132.096	2.99645e-08
132.352	2.99645e-08
132.608	2.99645e-08
132.864	2.99645e-08
133.12	3.16537e-08
133.376	3.16537e-08
133.632	3.16537e-08
133.888	3.16537e-08
134.144	2.03427e-08
134.4	2.03427e-08
134.656	2.03427e-08
134.912	2.03427e-08
135.168	3.83979e-08
135.424	3.83979e-08
135.68	3.83979e-08
135.936	3.83979e-08
136.192	1.15997e-07
136.448	1.15997e-07
136.704	1.15997e-07
136.96	1.15997e-07
137.216	2.36425e-07
137.472	2.36425e-07
137.728	2.36425e-07
137.984	2.36425e-07
138.24	4.25735e-07
138.496	4.25735e-07
138.752	4.25735e-07
139.008	7.04777e-07
139.264	7.04777e-07
139.52	7.04777e-07
139.776	7.04777e-07
140.032	1.10663e-06
140.288	1.10663e-06
140.544	1.10663e-06
140.8	1.10663e-06
141.056	1.65522e-06
141.312	1.65522e-06
141.568	1.65522e-06
141.824	1.65522e-06
142.08	2.3389e-06
142.336	2.3389e-06
142.592	2.3389e-06
142.848	2.3389e-06
143.104	3.09974e-06
143.36	3.09974e-06
143.616	3.09974e-06
143.872	3.09974e-06
144.128	3.84295e-06
144.384	3.84295e-06
144.64	3.84295e-06
144.896	3.84295e-06
145.152	4.42951e-06
145.408	4.42951e-06
145.664	4.42951e-06
145.92	4.42951e-06
146.176	4.70542e-06
146.432	4.70542e-06
146.688	4.70542e-06
146.944	4.70542e-06
147.2	4.54575e-06
147.456	4.54575e-06
147.712	4.54575e-06
147.968	4.54575e-06
148.224	3.89568e-06
148.48	3.89568e-06
148.736	3.89568e-06
148.992	3.89568e-06
149.248	2.80131e-06
149.504	2.80131e-06
149.76	2.80131e-06
150.016	1.4645e-06
150.272	1.4645e-06
150.528	1.4645e-06
150.784	1.4645e-06
151.04	8.3133e-07
151.296	8.3133e-07
151.552	8.3133e-07
151.808	8.3133e-07
152.064	1.71083e-06
152.32	1.71083e-06
152.576	1.71083e-06
152.832	1.71083e-06
153.088	2.24808e-06
153.344	2.24808e-06
153.6	2.24808e-06
153.856	2.24808e-06
154.112	2.04265e-06
154.368	2.04265e-06
154.624	2.04265e-06
154.88	2.04265e-06
155.136	1.54988e-06
155.392	1.54988e-06
155.648	1.54988e-06
155.904	1.54988e-06
156.16	1.57659e-06
156.416	1.57659e-06
156.672	1.57659e-06
156.928	1.57659e-06
157.184	1.53876e-06
157.44	1.53876e-06
157.696	1.53876e-06
157.952	1.53876e-06
158.208	9.53888e-07
158.464	9.53888e-07
158.72	9.53888e-07
158.976	9.53888e-07
159.232	2.14888e-06
159.488	2.14888e-06
159.744	2.14888e-06
160	2.14888e-06
160.256	4.59816e-06
160.512	4.59816e-06
160.768	4.59816e-06
161.024	6.96328e-06
161.28	6.96328e-06
161.536	6.96328e-06
161.792	6.96328e-06
162.048	8.15658e-06
162.304	8.15658e-06
162.56	8.15658e-06
162.816	8.15658e-06
163.072	6.91792e-06
163.328	6.91792e-06
163.584	6.91792e-06
163.84	6.91792e-06
164.096	4.08174e-06
164.352	4.08174e-06
164.608	4.08174e-06
164.864	4.08174e-06
165.12	9.64361e-06
165.376	9.64361e-06
165.632	9.64361e-06
165.888	9.64361e-06
166.144	1.83552e-05
166.4	1.83552e-05
166.656	1.83552e-05
166.912	1.83552e-05
167.168	2.32003e-05
167.424	2.32003e-05
