"arc_length"	"U_MagnitudeMRT"
153.856	5.72897e-08
154.112	5.88259e-08
154.368	5.88259e-08
154.624	5.88259e-08
154.88	5.88259e-08
155.136	6.0494e-08
155.392	6.0494e-08
155.648	6.0494e-08
155.904	6.0494e-08
156.16	5.83934e-08
156.416	5.83934e-08
156.672	5.83934e-08
156.928	5.83934e-08
157.184	5.50079e-08
157.44	5.50079e-08
157.696	5.50079e-08
157.952	5.50079e-08
158.208	5.6148e-08
158.464	5.6148e-08
158.72	5.6148e-08
158.976	5.6148e-08
159.232	5.99904e-08
159.488	5.99904e-08
159.744	5.99904e-08
160	5.99904e-08
160.256	6.21165e-08
160.512	6.21165e-08
160.768	6.21165e-08
161.024	6.23493e-08
161.28	6.23493e-08
161.536	6.23493e-08
161.792	6.23493e-08
162.048	6.15631e-08
162.304	6.15631e-08
162.56	6.15631e-08
162.816	6.15631e-08
163.072	6.02248e-08
163.328	6.02248e-08
163.584	6.02248e-08
163.84	6.02248e-08
164.096	5.85401e-08
164.352	5.85401e-08
164.608	5.85401e-08
164.864	5.85401e-08
165.12	5.66266e-08
165.376	5.66266e-08
165.632	5.66266e-08
165.888	5.66266e-08
166.144	5.45733e-08
166.4	5.45733e-08
166.656	5.45733e-08
166.912	5.45733e-08
167.168	5.24472e-08
167.424	5.24472e-08
167.68	5.24472e-08
167.936	5.24472e-08
168.192	5.02969e-08
168.448	5.02969e-08
168.704	5.02969e-08
168.96	5.02969e-08
169.216	4.81571e-08
169.472	4.81571e-08
169.728	4.81571e-08
169.984	4.81571e-08
170.24	4.60519e-08
170.496	4.60519e-08
170.752	4.60519e-08
171.008	4.39985e-08
171.264	4.39985e-08
171.52	4.39985e-08
171.776	4.39985e-08
172.032	4.20083e-08
172.288	4.20083e-08
172.544	4.20083e-08
172.8	4.20083e-08
173.056	4.00887e-08
173.312	4.00887e-08
173.568	4.00887e-08
173.824	4.00887e-08
174.08	3.82442e-08
174.336	3.82442e-08
174.592	3.82442e-08
174.848	3.82442e-08
175.104	3.64772e-08
175.36	3.64772e-08
175.616	3.64772e-08
175.872	3.64772e-08
176.128	3.47881e-08
176.384	3.47881e-08
176.64	3.47881e-08
176.896	3.47881e-08
177.152	3.31764e-08
177.408	3.31764e-08
177.664	3.31764e-08
177.92	3.31764e-08
178.176	3.16405e-08
178.432	3.16405e-08
178.688	3.16405e-08
178.944	3.16405e-08
179.2	3.01785e-08
179.456	3.01785e-08
179.712	3.01785e-08
179.968	3.01785e-08
180.224	2.87877e-08
180.48	2.87877e-08
180.736	2.87877e-08
180.992	2.87877e-08
181.248	2.74654e-08
181.504	2.74654e-08
181.76	2.74654e-08
182.016	2.62086e-08
182.272	2.62086e-08
182.528	2.62086e-08
182.784	2.62086e-08
183.04	2.50143e-08
183.296	2.50143e-08
183.552	2.50143e-08
183.808	2.50143e-08
184.064	2.38793e-08
184.32	2.38793e-08
184.576	2.38793e-08
184.832	2.38793e-08
185.088	2.28008e-08
185.344	2.28008e-08
185.6	2.28008e-08
185.856	2.28008e-08
186.112	2.17757e-08
186.368	2.17757e-08
186.624	2.17757e-08
186.88	2.17757e-08
187.136	2.08011e-08
187.392	2.08011e-08
187.648	2.08011e-08
187.904	2.08011e-08
188.16	1.98743e-08
188.416	1.98743e-08
188.672	1.98743e-08
188.928	1.98743e-08
189.184	1.89926e-08
189.44	1.89926e-08
189.696	1.89926e-08
189.952	1.89926e-08
190.208	1.81534e-08
190.464	1.81534e-08
190.72	1.81534e-08
190.976	1.81534e-08
191.232	1.73545e-08
191.488	1.73545e-08
191.744	1.73545e-08
192	1.73545e-08
192.256	1.65934e-08
192.512	1.65934e-08
192.768	1.65934e-08
193.024	1.5868e-08
193.28	1.5868e-08
193.536	1.5868e-08
193.792	1.5868e-08
194.048	1.51763e-08
194.304	1.51763e-08
194.56	1.51763e-08
194.816	1.51763e-08
195.072	1.45163e-08
195.328	1.45163e-08
195.584	1.45163e-08
195.84	1.45163e-08
196.096	1.38862e-08
196.352	1.38862e-08
196.608	1.38862e-08
196.864	1.38862e-08
197.12	1.32843e-08
197.376	1.32843e-08
197.632	1.32843e-08
197.888	1.32843e-08
198.144	1.27091e-08
198.4	1.27091e-08
198.656	1.27091e-08
198.912	1.27091e-08
199.168	1.21589e-08
199.424	1.21589e-08
199.68	1.21589e-08
199.936	1.21589e-08
200.192	1.16323e-08
200.448	1.16323e-08
200.704	1.16323e-08
200.96	1.16323e-08
201.216	1.11281e-08
201.472	1.11281e-08
201.728	1.11281e-08
201.984	1.11281e-08
202.24	1.0645e-08
202.496	1.0645e-08
202.752	1.0645e-08
203.008	1.01817e-08
203.264	1.01817e-08
203.52	1.01817e-08
203.776	1.01817e-08
204.032	9.73732e-09
204.288	9.73732e-09
204.544	9.73732e-09
204.8	9.73732e-09
205.056	9.31067e-09
205.312	9.31067e-09
205.568	9.31067e-09
205.824	9.31067e-09
206.08	8.90083e-09
206.336	8.90083e-09
206.592	8.90083e-09
206.848	8.90083e-09
207.104	8.5069e-09
207.36	8.5069e-09
207.616	8.5069e-09
207.872	8.5069e-09
208.128	8.12801e-09
208.384	8.12801e-09
208.64	8.12801e-09
208.896	8.12801e-09
209.152	7.76339e-09
209.408	7.76339e-09
209.664	7.76339e-09
209.92	7.76339e-09
