"arc_length"	"U_Magnitude_eq25","U_MagnitudeMRT"
70.144	2.1308e-06	2.28008e-08
70.4	2.1308e-06	2.28008e-08
70.656	2.1308e-06	2.28008e-08
70.912	2.1308e-06	2.28008e-08
71.168	2.21516e-06	2.38793e-08
71.424	2.21516e-06	2.38793e-08
71.68	2.21516e-06	2.38793e-08
71.936	2.21516e-06	2.38793e-08
72.192	2.02077e-06	2.50143e-08
72.448	2.02077e-06	2.50143e-08
72.704	2.02077e-06	2.50143e-08
72.96	2.02077e-06	2.50143e-08
73.216	1.509e-06	2.62086e-08
73.472	1.509e-06	2.62086e-08
73.728	1.509e-06	2.62086e-08
73.984	1.509e-06	2.62086e-08
74.24	7.82738e-07	2.74654e-08
74.496	7.82738e-07	2.74654e-08
74.752	7.82738e-07	2.74654e-08
75.008	6.06566e-07	2.87877e-08
75.264	6.06566e-07	2.87877e-08
75.52	6.06566e-07	2.87877e-08
75.776	6.06566e-07	2.87877e-08
76.032	1.19465e-06	3.01785e-08
76.288	1.19465e-06	3.01785e-08
76.544	1.19465e-06	3.01785e-08
76.8	1.19465e-06	3.01785e-08
77.056	1.34048e-06	3.16405e-08
77.312	1.34048e-06	3.16405e-08
77.568	1.34048e-06	3.16405e-08
77.824	1.34048e-06	3.16405e-08
78.08	8.90565e-07	3.31764e-08
78.336	8.90565e-07	3.31764e-08
78.592	8.90565e-07	3.31764e-08
78.848	8.90565e-07	3.31764e-08
79.104	2.3902e-06	3.47881e-08
79.36	2.3902e-06	3.47881e-08
79.616	2.3902e-06	3.47881e-08
79.872	2.3902e-06	3.47881e-08
80.128	5.8673e-06	3.64772e-08
80.384	5.8673e-06	3.64772e-08
80.64	5.8673e-06	3.64772e-08
80.896	5.8673e-06	3.64772e-08
81.152	1.00377e-05	3.82442e-08
81.408	1.00377e-05	3.82442e-08
81.664	1.00377e-05	3.82442e-08
81.92	1.00377e-05	3.82442e-08
82.176	1.35017e-05	4.00887e-08
82.432	1.35017e-05	4.00887e-08
82.688	1.35017e-05	4.00887e-08
82.944	1.35017e-05	4.00887e-08
83.2	1.43559e-05	4.20083e-08
83.456	1.43559e-05	4.20083e-08
83.712	1.43559e-05	4.20083e-08
83.968	1.43559e-05	4.20083e-08
84.224	1.09765e-05	4.39985e-08
84.48	1.09765e-05	4.39985e-08
84.736	1.09765e-05	4.39985e-08
84.992	1.09765e-05	4.39985e-08
85.248	6.06513e-06	4.60519e-08
85.504	6.06513e-06	4.60519e-08
85.76	6.06513e-06	4.60519e-08
86.016	1.27302e-05	4.81571e-08
86.272	1.27302e-05	4.81571e-08
86.528	1.27302e-05	4.81571e-08
86.784	1.27302e-05	4.81571e-08
87.04	2.0996e-05	5.02969e-08
87.296	2.0996e-05	5.02969e-08
87.552	2.0996e-05	5.02969e-08
87.808	2.0996e-05	5.02969e-08
88.064	2.32003e-05	5.24472e-08
88.32	2.32003e-05	5.24472e-08
88.576	2.32003e-05	5.24472e-08
88.832	2.32003e-05	5.24472e-08
89.088	1.83552e-05	5.45733e-08
89.344	1.83552e-05	5.45733e-08
89.6	1.83552e-05	5.45733e-08
89.856	1.83552e-05	5.45733e-08
90.112	9.64361e-06	5.66266e-08
90.368	9.64361e-06	5.66266e-08
90.624	9.64361e-06	5.66266e-08
90.88	9.64361e-06	5.66266e-08
