"arc_length"	"U_Magnitude_mrt"
60.9	0.0680641
61	0.0680641
61.1	0.0720602
61.2	0.0720602
61.3	0.0720602
61.4	0.0720602
61.5	0.0720602
61.6	0.0720602
61.7	0.0720602
61.8	0.0720602
61.9	0.0720602
62	0.0720602
62.1	0.0757492
62.2	0.0757492
62.3	0.0757492
62.4	0.0757492
62.5	0.0757492
62.6	0.0757492
62.7	0.0757492
62.8	0.0757492
62.9	0.0757492
63	0.0757492
63.1	0.0791312
63.2	0.0791312
63.3	0.0791312
63.4	0.0791312
63.5	0.0791312
63.6	0.0791312
63.7	0.0791312
63.8	0.0791312
63.9	0.0791312
64	0.0791312
64.1	0.0822062
64.2	0.0822062
64.3	0.0822062
64.4	0.0822062
64.5	0.0822062
64.6	0.0822062
64.7	0.0822062
64.8	0.0822062
64.9	0.0822062
65	0.0822062
65.1	0.0849741
65.2	0.0849741
65.3	0.0849741
65.4	0.0849741
65.5	0.0849741
65.6	0.0849741
65.7	0.0849741
65.8	0.0849741
65.9	0.0849741
66	0.0849741
66.1	0.087435
66.2	0.087435
66.3	0.087435
66.4	0.087435
66.5	0.087435
66.6	0.087435
66.7	0.087435
66.8	0.087435
66.9	0.087435
67	0.087435
67.1	0.0895888
67.2	0.0895888
67.3	0.0895888
67.4	0.0895888
67.5	0.0895888
67.6	0.0895888
67.7	0.0895888
67.8	0.0895888
67.9	0.0895888
68	0.0895888
68.1	0.0914356
68.2	0.0914356
68.3	0.0914356
68.4	0.0914356
68.5	0.0914356
68.6	0.0914356
68.7	0.0914356
68.8	0.0914356
68.9	0.0914356
69	0.0914356
69.1	0.0929754
69.2	0.0929754
69.3	0.0929754
69.4	0.0929754
69.5	0.0929754
69.6	0.0929754
69.7	0.0929754
69.8	0.0929754
69.9	0.0929754
70	0.0929754
70.1	0.0942081
70.2	0.0942081
70.3	0.0942081
70.4	0.0942081
70.5	0.0942081
70.6	0.0942081
70.7	0.0942081
70.8	0.0942081
70.9	0.0942081
71	0.0942081
71.1	0.0951338
71.2	0.0951338
71.3	0.0951338
71.4	0.0951338
71.5	0.0951338
71.6	0.0951338
71.7	0.0951338
71.8	0.0951338
71.9	0.0951338
72	0.0951338
72.1	0.0957524
72.2	0.0957524
72.3	0.0957524
72.4	0.0957524
72.5	0.0957524
72.6	0.0957524
72.7	0.0957524
72.8	0.0957524
72.9	0.0957524
73	0.0957524
73.1	0.096064
73.2	0.096064
73.3	0.096064
73.4	0.096064
